TimeGenerated,DeviceName,Username,IpAddress,ActionType,RawData
"Aug 17, 2026 1:51:27 AM",corp-na01-bp123na,root,77.90.185.30,LogonFailure,2026-08-17T07:51:27.102457Z   196 Connect Access denied for user 'root'@'77.90.185.30' (using password: NO)
"Aug 17, 2026 1:51:27 AM",corp-na01-bp123na,admin,77.90.185.30,LogonFailure,2026-08-17T07:51:27.759283Z   197 Connect Access denied for user 'admin'@'77.90.185.30' (using password: NO)
"Aug 17, 2026 12:42:53 AM",corp-na01-bp123na,root,64.89.163.176,LogonSuccess,2026-08-17T06:42:53.187582Z   194 Connect root@64.89.163.176 on  using TCP/IP
"Aug 17, 2026 12:42:52 AM",corp-na01-bp123na,root,64.89.163.176,LogonFailure,2026-08-17T06:42:52.051232Z   191 Connect Access denied for user 'root'@'64.89.163.176' (using password: NO)
"Aug 17, 2026 12:42:52 AM",corp-na01-bp123na,root,64.89.163.176,LogonSuccess,2026-08-17T06:42:52.339956Z   192 Connect root@64.89.163.176 on  using TCP/IP
"Aug 17, 2026 12:42:52 AM",corp-na01-bp123na,root,64.89.163.176,LogonSuccess,2026-08-17T06:42:52.717479Z   193 Connect root@64.89.163.176 on  using TCP/IP
"Aug 17, 2026 12:42:20 AM",corp-na01-bp123na,root,64.89.163.176,LogonFailure,2026-08-17T06:42:19.914205Z   189 Connect Access denied for user 'root'@'64.89.163.176' (using password: NO)
"Aug 17, 2026 12:42:20 AM",corp-na01-bp123na,root,64.89.163.176,LogonSuccess,2026-08-17T06:42:20.194927Z   190 Connect root@64.89.163.176 on  using TCP/IP
"Aug 17, 2026 12:31:29 AM",corp-na01-bp123na,root,77.90.185.30,LogonSuccess,2026-08-17T06:31:29.181664Z   187 Connect root@77.90.185.30 on  using SSL/TLS
"Aug 17, 2026 12:31:28 AM",corp-na01-bp123na,sa,77.90.185.30,LogonFailure,2026-08-17T06:31:28.612201Z   186 Connect Access denied for user 'sa'@'77.90.185.30' (using password: NO)
"Aug 17, 2026 12:31:28 AM",corp-na01-bp123na,admin,77.90.185.30,LogonFailure,2026-08-17T06:31:27.948272Z   185 Connect Access denied for user 'admin'@'77.90.185.30' (using password: NO)
